Word,alternate-spellings,transliteration,Gloss,Strongs
"ἀκάνθινος, -η, -ον",,akanthinos,"of thorns, thorny, made of thorns",174
"ἄκαρπος, -ον",,akarpos,"unfruitful, barren",175
"ἀκατάγνωστος, -ον",,akatagnōstos,"beyond reproach, uncondemned, unimpeachable",176
"ἀκατακάλυπτος, -ον",,akatakaluptos,"uncovered, not veiled, unveiled",177
"ἀκατάκριτος, -ον",,akatakritos,"uncondemned, without trial",178
"ἀκατάλυτος, -ον",,akatalutos,"indissoluble, that cannot be broken up, endless, indestructible, perpetual",179
"ἀκατάπαυστος, -ον",,akatapaustos,"unceasing, restless, not abandoning",180
"ἀκαταστασία, -ας, ἡ",,akatastasia,"distrurbance, disorder, tumult, disturbance, upheaval, revolution",181
"ἀκατάστατος, -ον",,akatastatos,"unstable, restless, unsettled",182
"ἀκατάσχετος, -ον",,akataschetos,"unrestrainable, unruly, untamable",183
"Ἁκελδαμάχ, ",Ἀκελδαμά,Akeldamach,"Akeldama, Hakeldama",184
"ἀκέραιος, -ον",,akeraios,"unmixed, pure, innocent, simple, unsophisticated",185
ἀκλινής,,aklinēs,"without wavering, unbent, unyielding, resolute",186
ἀκμάζω,,akmazō,"bloom, ripen, reach maturity, become ripe",187
"ἀκμήν, ἡ",,akmēn,"even yet, still, even now",188
"ἀκοή, -ῆς, ἡ",,akoē,"hearing, report, news, faculty of hearing, ear",189
ἀκολουθέω,,akoloutheō,"follow, accompany, attend",190
ἀκούω,,akouō,"hear, listen",191
"ἀκρασία, -ας, ἡ",,akrasia,"lack of self-control, self-indulgence, incontinence, intemperance, lack of restraint",192
ἀκρατής,,akratēs,"without self-control, dissolute, lacking self-control, inclined to excess",193
"ἄκρατος, -ον",,akratos,"unmixed, undiluted",194
"ἀκρίβεια, -ας, ἡ",,akribeia,"exactness, precision, strictness, accuracy",195
ἀκριβέστατος,,akribestatos,"most exact, strict",196
ἀκριβής,,akribēs,"exact, precise",
ἀκριβόω,,akriboō,"ascertain precisely, examine carefully, inquire strictly","198, 196"
ἀκριβῶς,,akribōs,"carefully, accurately, exactly, strictly","199, 197, 196"
"ἀκρίς, -ίδος, ἡ",,akris,locust,200
"ἀκροατήριον, -ου, τό",,akroatērion,"auditorium, audience hall, recitation hall, court room",201
"ἀκροατής, -οῦ, ὁ",,akroatēs,"hearer, hearer of, listener to",202
"ἀκροβυστία, -ας, ἡ",,akrobustia,"uncircumcision, foreskin",203
"ἀκρογωνιαῖος, -α, -ον",,akrogōniaios,"corner, cornerstone, capstone, in the corner",204
"ἀκροθίνιον, -ου, τό",,akrothinion,"booty, spoils, plunder, spoil, treasure",205
"ἄκρον, -ου, τό",,akron,"high point, boundary, end, extremity",206
"ἄκρος, -α, -ον",,akros,"top, top of",
"Ἀκύλας, ὁ",,Akulas,Aquila,207
ἀκυρόω,,akuroō,"revoke, invalidate, annul, make of no effect",208
ἀκωλύτως,,akōlutōs,"without hindrance, freely",209
ἄκων,,akōn,unwilling,210
"ἀλάβαστρον, -ου, τό",,alabastron,"alabaster jar, vase for holding perfume",211
"ἀλαζονεία, -ας, ἡ",,alazoneia,"pretension, arrogance, boasting, show, arrogant display",212
"ἀλαζών, -ονος, ὁ",,alazōn,"impostor, boaster",213
ἀλαλάζω,,alalazō,"cry aloud, wail loudly, clanging or clashing cymbal",214
"ἀλάλητος, -ον",,alalētos,"inexpressible, unutterable",215
"ἄλαλος, -ον",,alalos,"speechless, mute, unable to speak",216
"ἅλας, -ατος, τό",,alas,salt,217
ἀλείφω,,aleiphō,anoint,218
"ἀλεκτοροφωνία, -ας, ἡ",,alektorophōnia,"crowing of a rooster, cockcrow",219
"ἀλέκτωρ, -ορος, ὁ",,alektōr,"rooster, cock",220
"Ἀλεξανδρεύς, -έως, ὁ",,Alexandreus,Alexandrian,221
"Ἀλεξανδρῖνος, -η, -ον",,Alexandrinos,Alexandrian,222
"Ἀλέξανδρος, -ου, ὁ",,Alexandros,Alexander,223
"Ἀλέξιος, ὁ",,Alexios,Alexios,
"ἄλευρον, -ου, τό",,aleuron,"wheat flour, meal, flour",224
"ἀλήθεια, -ας, ἡ",,alētheia,truth,225
ἀληθεύω,,alētheuō,"speak the truth, say, speak truth, do truth",226
ἀληθής,,alēthēs,"true, unconcealed",227
"ἀληθινός, -ή, -όν",,alēthinos,"true, genuine, real",228
ἀλήθω,,alēthō,grind,229
ἀληθῶς,,alēthōs,"truly, really, certainly",230
"ἁλιεύς, -έως, ὁ",,alieus,fisherman,231
